--------------------------------------------------------------------------------------------------------------------------------
+ Test Active Link              + Test Form                      3/12/2001  5:05:37 PM    Gain Focus; Lose Fo     0  Yes
+HPD:HPD-Test of NONE Bitmask   HPD:HelpDesk                     3/10/2001  5:52:31 PM    None;                   0  Yes
01HPD:Test Active Link 01       ARE:Users                        2/25/2001 11:18:39 PM    None;                   0  Yes
02HPD:Test Active Link 03       ARE:Users                        2/25/2001 11:17:46 PM    None;                   0  Yes
03HPD:Test Active Link 03       ARE:Users                        2/25/2001  9:37:59 PM    None;                   0  Yes
ARDialog:YesNo-No               ARDialog:YesNo                   1/11/2001 10:43:05 PM    Button;                 0  Yes
ARDialog:YesNo-Yes              ARDialog:YesNo                   1/11/2001 10:43:05 PM    Button;                 0  Yes
AREU:Save User                  ARE:Users                        2/ 3/2001  4:34:22 AM    Button;                 5  Yes
ASN:ANS-DeleteProcess01         ASN:Process                      1/11/2001 10:39:59 PM    Button;                 1  Yes
ASN:ASN-AddProcess              ASN:Process                      1/11/2001 10:39:59 PM    Button;                 2  Yes
ASN:ASN-BackToStart             ASN:Process                      1/11/2001 10:39:59 PM    Button;                 1  Yes
ASN:ASN-BackToStart2            ASN:Process                      1/11/2001 10:39:59 PM    Window Close;           2  Yes
ASN:ASN-CheckDefaultAssignee1   ASN:Process                      1/11/2001 10:39:59 PM    Button;                 1  Yes
ASN:ASN-CheckDefaultAssignee2   ASN:Process                      1/11/2001 10:39:59 PM    Button;                 2  Yes
ASN:ASN-FindDefaultAssignee     ASN:Process                      1/11/2001 10:39:59 PM    Button;                 0  Yes
ASN:ASN-GetFormInfo01           ASN:Process                      1/11/2001 10:39:59 PM    Lose Focus;             1  Yes
ASN:ASN-GetFormInfo02           ASN:Process                      1/11/2001 10:39:59 PM    Lose Focus;             2  Yes
ASN:ASN-ModifyProcess           ASN:Process                      1/11/2001 10:39:59 PM    Button;                 3  Yes
ASN:ASN-NextCfgStep01           ASN:Process                      1/11/2001 10:39:59 PM    Button;               101  Yes
ASN:ASN-NextCfgStep02           ASN:Process                      1/11/2001 10:39:59 PM    Button;               102  Yes
ASN:ASN-NextCfgStep03           ASN:Process                      1/11/2001 10:39:59 PM    Button;               103  Yes
ASN:ASN-NextCfgStep04           ASN:Process                      1/11/2001 10:39:59 PM    Button;               104  Yes
ASN:ASN-NextCfgStep05           ASN:Process                      1/11/2001 10:39:59 PM    Button;               105  Yes
ASN:ASN-PrevCfgStep01           ASN:Process                      1/11/2001 10:39:59 PM    Button;               101  Yes
ASN:ASN-PrevCfgStep02           ASN:Process                      1/11/2001 10:39:59 PM    Button;               102  Yes
ASN:ASN-PrevCfgStep03           ASN:Process                      1/11/2001 10:39:59 PM    Button;               103  Yes
ASN:ASN-PrevCfgStep04           ASN:Process                      1/11/2001 10:39:59 PM    Button;               104  Yes
ASN:ASN-SelectProcess1          ASN:Process                      1/11/2001 10:39:59 PM    Button;                 1  Yes
ASN:ASN-SelectProcess2          ASN:Process                      1/11/2001 10:39:59 PM    Button;                 2  Yes
ASN:ASN-UpdateStepsDone         ASN:Process                      1/11/2001 10:39:59 PM    Button;               910  Yes
ASN:PDG-Cancel                  ASN:ProcessDialog                1/11/2001 10:39:59 PM    Button;                 0  Yes
ASN:PDG-OK                      ASN:ProcessDialog                1/11/2001 10:39:59 PM    Button;                 0  Yes
ASN:PDG-Refresh                 ASN:ProcessDialog                1/11/2001 10:39:59 PM    Window Open;            0  Yes
AST:AA-AddAssociation01         AST:AssetAssociations            1/11/2001 10:35:58 PM    Button;                 1  Yes
AST:AA-AddAssociation02         AST:AssetAssociations            1/11/2001 10:35:58 PM    Button;                 2  Yes
AST:AA-BackToStart              AST:AssetAssociations            1/11/2001 10:35:58 PM    Button;                 1  Yes
AST:AA-BackToStart2             AST:AssetAssociations            1/11/2001 10:35:58 PM    Window Close;           2  Yes
AST:AA-DeleteAssociation01      AST:AssetAssociations            1/11/2001 10:35:58 PM    Button;                 1  Yes
AST:AA-DeleteAssociation02      AST:AssetAssociations            1/11/2001 10:35:58 PM    Button;                 2  Yes
AST:AA-DeleteAssociation03      AST:AssetAssociations            1/11/2001 10:35:58 PM    Button;                 3  Yes
AST:AA-UpdateStepsDone          AST:AssetAssociations            1/11/2001 10:35:58 PM    Button;               910  Yes
AST:AD-BackToStart              AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 1  Yes
AST:AD-BackToStart2             AST:AssetDiscovery               1/11/2001 10:35:59 PM    Window Close;           2  Yes
AST:AD-CreateFieldMapping00     AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 1  Yes
AST:AD-CreateFieldMapping01     AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 2  Yes
AST:AD-CreateFieldMapping02     AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 3  Yes
AST:AD-CreateFieldMapping03     AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 4  Yes
AST:AD-CreateFieldMapping04     AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 5  Yes
AST:AD-PassLoginAndPassword     AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 0  Yes
AST:AD-PreventSubmission        AST:AssetDiscovery               1/11/2001 10:35:59 PM    Modify; Submit;         0  Yes
AST:AD-SelectFieldMapping01     AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 1  Yes
AST:AD-SelectFieldMapping02     AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;                 2  Yes
AST:AD-SelectVendor             AST:AssetDiscovery               1/11/2001 10:35:59 PM    Menu Choice; Return     0  Yes
AST:AD-UpdateStepsDone          AST:AssetDiscovery               1/11/2001 10:35:59 PM    Button;               910  Yes
AST:AST-ActionOnSubmit01        AST:Asset                        1/11/2001 10:36:00 PM    After Submit;         998  Yes
AST:AST-ActionOnSubmit02        AST:Asset                        1/11/2001 10:36:00 PM    After Submit;         999  Yes
AST:AST-ActionOnSubmit03        AST:Asset                        1/11/2001 10:36:00 PM    After Submit;         999  Yes
AST:AST-ActionOnSubmit04        AST:Asset                        1/11/2001 10:36:00 PM    After Submit;         999  Yes
AST:AST-ActionOnSubmit05        AST:Asset                        1/11/2001 10:36:00 PM    After Submit;         999  Yes
AST:AST-ActionOnSubmit06        AST:Asset                        1/11/2001 10:36:00 PM    After Submit;        1000  Yes
AST:AST-CheckAssetID01          AST:Asset                        1/11/2001 10:36:00 PM    Return;                 1  Yes
AST:AST-CheckAssetID01A         AST:Asset                        1/11/2001 10:36:00 PM    Return;                 1  Yes
AST:AST-CheckAssetID02          AST:Asset                        1/11/2001 10:36:00 PM    Return;                 2  Yes
AST:AST-CheckAssetID03          AST:Asset                        1/11/2001 10:36:00 PM    Return;                 3  Yes
AST:AST-CheckAssetID04          AST:Asset                        1/11/2001 10:36:00 PM    Return;                 4  Yes
AST:AST-CheckAssetID05          AST:Asset                        1/11/2001 10:36:00 PM    Return;                 5  Yes
AST:AST-CheckIfRequester        AST:Asset                        1/11/2001 10:36:00 PM    Modify; Submit;         0  Yes
AST:AST-CheckSLAMessage         AST:Asset                        1/11/2001 10:36:00 PM    After Modify; After    13  Yes
AST:AST-ChgFlagResetOpen        AST:Asset                        1/11/2001 10:36:00 PM    Display; Window Ope   999  Yes
AST:AST-CloseAssetForm          AST:Asset                        1/11/2001 10:36:00 PM    Button;                 1  Yes
AST:AST-CreateNewComponent01    AST:Asset                        1/11/2001 10:36:00 PM    Button;                 1  Yes
AST:AST-CreateNewComponent02    AST:Asset                        1/11/2001 10:36:00 PM    Button;                 2  Yes
AST:AST-CreateNewComponent03    AST:Asset                        1/11/2001 10:36:00 PM    Button;                 3  Yes
AST:AST-FillNumberComps01       AST:Asset                        1/11/2001 10:36:00 PM    Gain Focus;            11  No 
AST:AST-FillNumberComps02       AST:Asset                        1/11/2001 10:36:00 PM    Gain Focus;            12  Yes
AST:AST-HideOnSubOrQuery01      AST:Asset                        1/11/2001 10:36:00 PM    Window Open;            0  Yes
AST:AST-HideOnSubOrQuery02      AST:Asset                        1/11/2001 10:36:00 PM    Display; Window Ope     0  Yes
AST:AST-HideShowCloseButton     AST:Asset                        1/11/2001 10:36:01 PM    Set Default; Window     1  Yes
AST:AST-ListAdvancedDetails1    AST:Asset                        1/11/2001 10:45:18 PM    Button;                 1  Yes
AST:AST-ListAdvancedDetails2    AST:Asset                        1/11/2001 10:45:18 PM    Button;                 2  Yes
AST:AST-ListAdvancedDetails3    AST:Asset                        1/11/2001 10:45:18 PM    Button;                 3  Yes
AST:AST-ListAdvancedDetails4    AST:Asset                        1/11/2001 10:45:18 PM    Button;                 4  Yes
AST:AST-ListAdvancedDetails999  AST:Asset                        1/11/2001 10:45:18 PM    Button;               999  Yes
AST:AST-ModifyAsset01           AST:Asset                        1/11/2001 10:36:01 PM    Button;                 1  Yes
AST:AST-ModifyAssetAdd02        AST:Asset                        1/11/2001 10:36:01 PM    Button;                 2  Yes
AST:AST-ModifyAssetAdd03        AST:Asset                        1/11/2001 10:36:01 PM    Button;                 3  Yes
AST:AST-OnRtnOwnerFullName+01   AST:Asset                        1/11/2001 10:36:01 PM    Return;                 1  Yes
AST:AST-OnRtnOwnerFullName+02   AST:Asset                        1/11/2001 10:36:01 PM    Return;                 2  Yes
AST:AST-OnRtnOwnerFullName+03   AST:Asset                        1/11/2001 10:36:01 PM    Return;                 3  Yes
AST:AST-OnRtnOwnerFullName+04   AST:Asset                        1/11/2001 10:36:01 PM    Return;                 4  Yes
AST:AST-OnRtnOwnerLoginName+01  AST:Asset                        1/11/2001 10:36:01 PM    Return;                 1  Yes
AST:AST-OnRtnOwnerLoginName+02  AST:Asset                        1/11/2001 10:36:01 PM    Return;                 2  Yes
AST:AST-OnRtnOwnerLoginName+03  AST:Asset                        1/11/2001 10:36:01 PM    Return;                 3  Yes
AST:AST-OnRtnOwnerLoginName+04  AST:Asset                        1/11/2001 10:36:01 PM    Return;                 4  Yes
AST:AST-OnRtnUserFullName+01    AST:Asset                        1/11/2001 10:36:01 PM    Return;                 1  Yes
AST:AST-OnRtnUserFullName+02    AST:Asset                        1/11/2001 10:36:01 PM    Return;                 2  Yes
AST:AST-OnRtnUserFullName+03    AST:Asset                        1/11/2001 10:36:01 PM    Return;                 3  Yes
AST:AST-OnRtnUserFullName+04    AST:Asset                        1/11/2001 10:36:01 PM    Return;                 4  Yes
AST:AST-OnRtnUserLoginName+01   AST:Asset                        1/11/2001 10:36:01 PM    Return;                 1  Yes
AST:AST-OnRtnUserLoginName+02   AST:Asset                        1/11/2001 10:36:01 PM    Return;                 2  Yes
AST:AST-OnRtnUserLoginName+03   AST:Asset                        1/11/2001 10:36:01 PM    Return;                 3  Yes
AST:AST-OnRtnUserLoginName+04   AST:Asset                        1/11/2001 10:36:01 PM    Return;                 4  Yes
AST:AST-OpenASTDialog           AST:Asset                        1/11/2001 10:36:01 PM    Window Open;          998  Yes
AST:AST-OwnerProfile01          AST:Asset                        1/11/2001 10:36:01 PM    Button;                 1  Yes
AST:AST-OwnerProfile02          AST:Asset                        1/11/2001 10:36:01 PM    Button;                 2  Yes
